Model,Accuracy,F1_Score,ROC_AUC,Precision,Recall,CV_Std
Stacking Ensemble,0.9755,0.9755,0.9850,0.9718,0.9794,0.0000
LightGBM Tuned,0.9759,0.9759,0.9847,0.9718,0.9802,0.0011
CatBoost Base,0.9762,0.9762,0.9846,0.9723,0.9803,0.0014
CatBoost Tuned,0.9754,0.9754,0.9834,0.9705,0.9806,0.0017
Random Forest Tuned,0.9691,0.9691,0.9842,0.9597,0.9794,0.0017
XGBoost Tuned,0.9684,0.9684,0.9819,0.9587,0.9789,0.0019
XGBoost Base,0.9688,0.9688,0.9815,0.9600,0.9784,0.0015
Random Forest Base,0.9665,0.9665,0.9823,0.9622,0.9711,0.0015
Hard Voting Ensemble,0.9720,0.9720,0.9720,0.9644,0.9802,0.0012
Soft Voting Ensemble,0.9692,0.9692,0.9834,0.9589,0.9804,0.0015
KNN Tuned,0.9586,0.9586,0.9770,0.9407,0.9790,0.0018
KNN Base,0.9562,0.9562,0.9753,0.9457,0.9680,0.0016
SVM Tuned,0.9586,0.9586,0.9552,0.9397,0.9801,0.0020
SVM Base,0.9557,0.9557,0.9541,0.9340,0.9807,0.0017
MLP Tuned,0.9587,0.9587,0.9716,0.9409,0.9789,0.0023
MLP Base,0.9581,0.9581,0.9594,0.9397,0.9790,0.0021
TabNet Tuned,0.9587,0.9587,0.9712,0.9402,0.9798,0.0000
TabNet Base,0.9580,0.9580,0.9697,0.9397,0.9788,0.0000
Logistic Regression Tuned,0.9587,0.9596,0.9556,0.9398,0.9801,0.0017
Logistic Regression Base,0.9581,0.9590,0.9569,0.9384,0.9806,0.0017
Extra Trees Tuned,0.9588,0.9587,0.9818,0.9400,0.9801,0.0019
Extra Trees Base,0.9616,0.9616,0.9783,0.9587,0.9647,0.0004
AdaBoost Tuned,0.9586,0.9586,0.9696,0.9395,0.9804,0.0021
AdaBoost Base,0.9585,0.9585,0.9746,0.9395,0.9801,0.0020
